datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 15:17:50.708,2210610164,296708,1,0.84058,-0.01465,0.73267,-1.16,1.87,-1.221,ergonomis
2026-06-01 15:17:50.708,2210610164,296708,2,0.93579,-0.3667,0.13428,0.031,0.863,-0.237,ergonomis
2026-06-01 15:17:50.908,2210610364,296908,1,0.84351,-0.00928,0.74097,0.466,2.053,-0.786,ergonomis
2026-06-01 15:17:50.908,2210610364,296908,2,0.95166,-0.36572,0.125,0.527,0.588,0.557,ergonomis
2026-06-01 15:17:50.232,2210609688,297232,1,0.83594,-0.01611,0.7417,0.038,1.328,-1.221,ergonomis
2026-06-01 15:17:50.232,2210609688,297232,2,0.94385,-0.36523,0.12769,-0.969,-0.145,0.802,ergonomis
2026-06-01 15:17:50.432,2210609888,297432,1,0.83618,-0.01367,0.7356,0.008,1.252,-1.023,ergonomis
2026-06-01 15:17:50.432,2210609888,297432,2,0.94067,-0.36938,0.13477,-1.573,0.641,0.634,ergonomis
2026-06-01 15:17:51.632,2210611088,297632,1,0.83911,-0.00659,0.73438,0.053,2.443,-0.962,ergonomis
2026-06-01 15:17:51.632,2210611088,297632,2,0.94824,-0.36719,0.13013,-1.458,-0.168,0.359,ergonomis
2026-06-01 15:17:51.832,2210611288,297832,1,0.83618,-0.01611,0.74365,-0.405,4.107,0.962,ergonomis
2026-06-01 15:17:51.832,2210611288,297832,2,0.93115,-0.37305,0.12109,-2.061,0.496,0.076,ergonomis
2026-06-01 15:17:51.032,2210610488,298032,1,0.8269,-0.01611,0.7439,1.504,2.13,0.038,ergonomis
2026-06-01 15:17:51.032,2210610488,298032,2,0.94019,-0.35864,0.13721,-1.42,0.191,0.023,ergonomis
2026-06-01 15:17:51.254,2210610710,298254,1,0.84326,-0.01074,0.72583,1.198,2.969,-0.885,ergonomis
2026-06-01 15:17:51.254,2210610710,298254,2,0.93384,-0.37158,0.12598,0.076,0.901,-0.328,ergonomis
2026-06-01 15:17:51.454,2210610910,298454,1,0.82739,-0.01343,0.76074,1.992,3.649,0.916,ergonomis
2026-06-01 15:17:51.454,2210610910,298454,2,0.93726,-0.375,0.11987,-1.359,0.244,0.389,ergonomis
2026-06-01 15:17:52.654,2210612110,298654,1,0.86182,-0.00366,0.70654,5.435,0.603,3.985,ergonomis
2026-06-01 15:17:52.654,2210612110,298654,2,0.92871,-0.34399,0.16406,3.527,-0.183,0.656,ergonomis
2026-06-01 15:17:52.854,2210612310,298854,1,0.82861,-0.02344,0.7522,-2.313,3.366,-1.244,ergonomis
2026-06-01 15:17:52.854,2210612310,298854,2,0.94141,-0.38525,0.13574,-0.198,3.191,1.282,ergonomis
2026-06-01 15:17:52.054,2210611510,299054,1,0.81641,-0.11548,0.74585,5.298,8.115,0.893,ergonomis
2026-06-01 15:17:52.054,2210611510,299054,2,0.94263,-0.32153,0.16406,8.71,2.832,-5.168,ergonomis
2026-06-01 15:17:52.254,2210611710,299254,1,0.81494,-0.08472,0.76367,-5.046,-2.412,-5.817,ergonomis
2026-06-01 15:17:52.254,2210611710,299254,2,0.94238,-0.36792,0.13232,10.534,3.458,-1.206,ergonomis
2026-06-01 15:17:52.454,2210611910,299454,1,0.79907,-0.0459,0.77881,5.405,2.824,-1.084,ergonomis
2026-06-01 15:17:52.454,2210611910,299454,2,0.94922,-0.33179,0.16187,6.489,-1.534,-0.084,ergonomis
2026-06-01 15:17:53.654,2210613110,299654,1,0.8147,-0.00854,0.76294,0.145,0.977,-4.031,ergonomis
2026-06-01 15:17:53.654,2210613110,299654,2,0.94971,-0.37134,0.14941,-2.969,-0.634,2.443,ergonomis
2026-06-01 15:17:53.854,2210613310,299854,1,0.81323,-0.00391,0.7583,2.756,4.267,0.542,ergonomis
2026-06-01 15:17:53.854,2210613310,299854,2,0.95679,-0.35547,0.1333,-5.573,-0.053,0.695,ergonomis
2026-06-01 15:17:53.054,2210612510,300054,1,0.81201,-0.02661,0.7522,4.939,2.435,1.389,ergonomis
2026-06-01 15:17:53.054,2210612510,300054,2,0.94507,-0.3562,0.13037,-2.992,0.519,0.405,ergonomis
2026-06-01 15:17:53.254,2210612710,300254,1,0.83154,-0.01392,0.76147,3.084,1.038,-1.069,ergonomis
2026-06-01 15:17:53.254,2210612710,300254,2,0.94922,-0.36035,0.146,-3.214,-0.336,0.588,ergonomis
2026-06-01 15:17:53.454,2210612910,300454,1,0.83228,-0.00757,0.75562,0.137,1.748,-2.336,ergonomis
2026-06-01 15:17:53.454,2210612910,300454,2,0.93506,-0.36621,0.12866,-1.588,0.939,0.824,ergonomis
2026-06-01 15:17:54.654,2210614110,300654,1,0.82178,-0.02148,0.73877,-1.443,0.969,-0.366,ergonomis
2026-06-01 15:17:54.654,2210614110,300654,2,0.94287,-0.3645,0.1394,-0.084,0.947,0.427,ergonomis
2026-06-01 15:17:54.854,2210614310,300854,1,0.83789,-0.00366,0.75586,2.084,1.42,0.634,ergonomis
2026-06-01 15:17:54.854,2210614310,300854,2,0.96021,-0.34961,0.13525,0.824,0.832,-0.435,ergonomis
2026-06-01 15:17:54.135,2210613591,301135,1,0.82837,-0.01416,0.76025,-1.824,1.26,-0.626,ergonomis
2026-06-01 15:17:54.135,2210613591,301135,2,0.94458,-0.3562,0.15161,-0.458,0.099,0.519,ergonomis
2026-06-01 15:17:54.335,2210613791,301335,1,0.81812,-0.01929,0.76001,2.244,1.863,-0.473,ergonomis
2026-06-01 15:17:54.335,2210613791,301335,2,0.94116,-0.35767,0.12842,2.924,0.244,0.58,ergonomis
2026-06-01 15:17:54.535,2210613991,301535,1,0.81226,-0.03027,0.77222,1.534,1.863,-0.153,ergonomis
2026-06-01 15:17:54.535,2210613991,301535,2,0.95825,-0.375,0.12598,0.977,0.206,3.099,ergonomis
2026-06-01 15:17:55.735,2210615191,301735,1,0.79077,-0.03589,0.75513,3.687,9.168,2.824,ergonomis
2026-06-01 15:17:55.735,2210615191,301735,2,0.96289,-0.32666,0.16797,1.275,2.115,-0.71,ergonomis
2026-06-01 15:17:55.967,2210615423,301967,1,0.80322,-0.01929,0.77637,-3.931,4.763,-3.038,ergonomis
2026-06-01 15:17:55.967,2210615423,301967,2,0.93823,-0.34229,0.15552,-1.099,-0.412,-0.794,ergonomis
2026-06-01 15:17:55.171,2210614627,302171,1,0.81372,-0.01489,0.78101,-1.977,0.901,-1.198,ergonomis
2026-06-01 15:17:55.171,2210614627,302171,2,0.94824,-0.32861,0.1543,-3.779,-0.557,0.634,ergonomis
2026-06-01 15:17:55.406,2210614862,302405,1,0.80811,-0.0144,0.77954,-0.611,1.916,-1.763,ergonomis
2026-06-01 15:17:55.406,2210614862,302405,2,0.94336,-0.3374,0.15552,-1.573,-0.366,0.489,ergonomis
2026-06-01 15:17:56.635,2210616091,302634,1,0.80981,-0.02148,0.78174,0.786,1.947,-0.763,ergonomis
2026-06-01 15:17:56.635,2210616091,302634,2,0.95093,-0.33569,0.1582,-0.771,0.405,1.153,ergonomis
2026-06-01 15:17:56.834,2210616290,302834,1,0.80615,-0.03735,0.77734,-0.153,1.252,-0.29,ergonomis
2026-06-01 15:17:56.834,2210616290,302834,2,0.94971,-0.33545,0.15918,-0.695,0.458,1.336,ergonomis
2026-06-01 15:17:56.034,2210615490,303034,1,0.80737,-0.02734,0.77563,1.863,2.603,0.061,ergonomis
2026-06-01 15:17:56.034,2210615490,303034,2,0.94702,-0.34424,0.15454,-2.702,0.71,0.252,ergonomis
2026-06-01 15:17:56.268,2210615724,303268,1,0.79297,-0.0249,0.79077,0.313,1.481,-0.534,ergonomis
2026-06-01 15:17:56.268,2210615724,303268,2,0.95142,-0.33838,0.16064,-1.489,0.435,0.099,ergonomis
2026-06-01 15:17:57.693,2210617149,303693,1,0.79883,-0.02954,0.78979,0.031,0.962,-0.748,ergonomis
2026-06-01 15:17:57.693,2210617149,303693,2,0.94971,-0.34277,0.15796,-0.855,0.496,0.916,ergonomis
2026-06-01 15:17:57.893,2210617349,303893,1,0.8042,-0.02539,0.7749,1.015,1.718,-0.076,ergonomis
2026-06-01 15:17:57.893,2210617349,303893,2,0.93774,-0.33423,0.16455,-0.87,0.649,0.84,ergonomis
2026-06-01 15:17:57.093,2210616549,304093,1,0.79321,-0.03198,0.77539,-0.336,2.015,-0.672,ergonomis
2026-06-01 15:17:57.093,2210616549,304093,2,0.94434,-0.34302,0.15552,-1.397,0.359,0.542,ergonomis
2026-06-01 15:17:57.293,2210616749,304293,1,0.79541,-0.02271,0.78345,0.687,1.901,-0.687,ergonomis
2026-06-01 15:17:57.293,2210616749,304293,2,0.94873,-0.3479,0.16284,-1.092,0.198,0.008,ergonomis
2026-06-01 15:17:57.493,2210616949,304493,1,0.79565,-0.02808,0.78296,0.649,1.824,-0.389,ergonomis
2026-06-01 15:17:57.493,2210616949,304493,2,0.95581,-0.33911,0.1731,-1.122,0.55,0.282,ergonomis
2026-06-01 15:17:58.760,2210618216,304759,1,0.80054,-0.02661,0.78198,1.595,1.924,-0.939,ergonomis
2026-06-01 15:17:58.760,2210618216,304759,2,0.95142,-0.33276,0.15942,-3.359,-0.557,0.969,ergonomis
2026-06-01 15:17:58.959,2210618415,304959,1,0.81006,-0.02612,0.78271,3.412,-0.183,-0.908,ergonomis
2026-06-01 15:17:58.959,2210618415,304959,2,0.95361,-0.34058,0.15771,-2.74,-0.275,1.824,ergonomis
2026-06-01 15:17:58.159,2210617615,305159,1,0.80981,-0.00757,0.7854,2.817,-1.053,-0.687,ergonomis
2026-06-01 15:17:58.159,2210617615,305159,2,0.94458,-0.3457,0.14844,-2.969,-2.58,2.718,ergonomis
2026-06-01 15:17:58.359,2210617815,305359,1,0.82178,-0.01001,0.76807,3.008,-1.13,0.427,ergonomis
2026-06-01 15:17:58.359,2210617815,305359,2,0.94897,-0.36377,0.12549,-1.595,-1.618,1.214,ergonomis
2026-06-01 15:17:58.600,2210618056,305600,1,0.8252,-0.01855,0.75391,0.244,0.863,0.824,ergonomis
2026-06-01 15:17:58.600,2210618056,305600,2,0.95166,-0.36499,0.12671,-2.183,-0.824,0.458,ergonomis
2026-06-01 15:17:59.800,2210619256,305800,1,0.82056,-0.02197,0.75952,0.679,0.519,-0.679,ergonomis
2026-06-01 15:17:59.800,2210619256,305800,2,0.95752,-0.35303,0.13501,-4.863,1.176,1.45,ergonomis
2026-06-01 15:17:59.000,2210618456,306000,1,0.82642,-0.02173,0.75708,1.313,-1.481,-1.893,ergonomis
2026-06-01 15:17:59.000,2210618456,306000,2,0.95825,-0.3667,0.13672,-6.389,0.504,1.084,ergonomis
2026-06-01 15:17:59.200,2210618656,306200,1,0.84033,-0.01514,0.7373,0.183,0.84,-0.527,ergonomis
2026-06-01 15:17:59.200,2210618656,306200,2,0.94702,-0.36792,0.13062,-1.863,1.626,1.153,ergonomis
2026-06-01 15:17:59.400,2210618856,306400,1,0.84229,-0.01367,0.73389,-0.084,0.718,-1.107,ergonomis
2026-06-01 15:17:59.400,2210618856,306400,2,0.94214,-0.37061,0.13232,-3.656,1.924,1.29,ergonomis
2026-06-01 15:17:59.600,2210619056,306600,1,0.83228,-0.02222,0.73535,1.084,1.603,-0.466,ergonomis
2026-06-01 15:17:59.600,2210619056,306600,2,0.94019,-0.36255,0.13257,-1.687,0.221,-0.443,ergonomis
2026-06-01 15:18:00.800,2210620256,306800,1,0.85132,0.00049,0.72778,0.618,1.893,-1.275,ergonomis
2026-06-01 15:18:00.800,2210620256,306800,2,0.94653,-0.37085,0.12329,0.061,-0.061,-0.389,ergonomis
2026-06-01 15:18:00.000,2210619456,307000,1,0.83618,-0.01685,0.73657,0.282,2.046,-0.511,ergonomis
2026-06-01 15:18:00.000,2210619456,307000,2,0.94727,-0.37183,0.12915,-1.84,0.023,0.58,ergonomis
2026-06-01 15:18:00.200,2210619656,307200,1,0.84131,-0.01025,0.73145,0.053,3.092,0.374,ergonomis
2026-06-01 15:18:00.200,2210619656,307200,2,0.94751,-0.36523,0.12427,-1.29,0.573,-0.107,ergonomis
2026-06-01 15:18:00.451,2210619907,307450,1,0.84326,-0.02051,0.74341,0.092,1.641,-0.863,ergonomis
2026-06-01 15:18:00.451,2210619907,307450,2,0.94775,-0.36597,0.13086,-0.954,0.435,0.328,ergonomis
2026-06-01 15:18:01.650,2210621106,307650,1,0.84888,-0.00659,0.73828,0.221,2.901,-0.794,ergonomis
2026-06-01 15:18:01.650,2210621106,307650,2,0.94409,-0.36377,0.13037,-0.092,-0.298,-0.382,ergonomis
2026-06-01 15:18:01.850,2210621306,307850,1,0.83643,-0.01147,0.73877,0.092,2.634,-0.748,ergonomis
2026-06-01 15:18:01.850,2210621306,307850,2,0.95166,-0.36401,0.13745,-1.74,-0.458,-0.313,ergonomis
2026-06-01 15:18:01.050,2210620506,308050,1,0.83203,-0.01245,0.73975,-0.443,3.16,-0.962,ergonomis
2026-06-01 15:18:01.050,2210620506,308050,2,0.94287,-0.35889,0.13159,-1.069,0.076,0.42,ergonomis
2026-06-01 15:18:01.250,2210620706,308250,1,0.83228,-0.01489,0.75366,0.664,3.145,-0.115,ergonomis
2026-06-01 15:18:01.250,2210620706,308250,2,0.95142,-0.36255,0.13501,-0.779,1.053,0.824,ergonomis
2026-06-01 15:18:01.450,2210620906,308450,1,0.83179,-0.01563,0.7561,0.328,2.42,-0.023,ergonomis
2026-06-01 15:18:01.450,2210620906,308450,2,0.94482,-0.35889,0.13013,0.038,0.45,0.565,ergonomis
2026-06-01 15:18:02.650,2210622106,308650,1,0.8313,-0.01636,0.74316,-0.634,2.702,-0.702,ergonomis
2026-06-01 15:18:02.650,2210622106,308650,2,0.94287,-0.36304,0.13696,-1.137,0.916,0.519,ergonomis
2026-06-01 15:18:02.850,2210622306,308850,1,0.82349,-0.02051,0.75293,0.374,2.321,-0.748,ergonomis
2026-06-01 15:18:02.850,2210622306,308850,2,0.94653,-0.36523,0.12427,-0.84,0.046,0.122,ergonomis
2026-06-01 15:18:02.050,2210621506,309050,1,0.82764,-0.01416,0.7522,-0.74,2.817,-0.473,ergonomis
2026-06-01 15:18:02.050,2210621506,309050,2,0.95044,-0.36108,0.12744,-0.893,0.969,0.214,ergonomis
2026-06-01 15:18:02.250,2210621706,309250,1,0.82642,-0.00928,0.74878,-0.198,2.122,-0.87,ergonomis
2026-06-01 15:18:02.250,2210621706,309250,2,0.94214,-0.35962,0.13794,-1.13,0.122,0.473,ergonomis
2026-06-01 15:18:02.450,2210621906,309450,1,0.82593,-0.02344,0.74927,1.092,2.679,-0.282,ergonomis
2026-06-01 15:18:02.450,2210621906,309450,2,0.95508,-0.36084,0.1499,-1.511,-0.099,0.176,ergonomis
2026-06-01 15:18:03.650,2210623106,309650,1,0.82593,-0.01782,0.75146,0.244,1.824,-0.748,ergonomis
2026-06-01 15:18:03.650,2210623106,309650,2,0.93921,-0.35498,0.1272,-0.466,0.405,0.214,ergonomis
2026-06-01 15:18:03.850,2210623306,309850,1,0.8291,-0.0188,0.74365,0.061,1.908,-0.122,ergonomis
2026-06-01 15:18:03.850,2210623306,309850,2,0.94043,-0.35596,0.13159,-0.954,0.389,0.687,ergonomis
2026-06-01 15:18:03.050,2210622506,310050,1,0.83325,-0.02124,0.74927,1.115,3.115,0.115,ergonomis
