datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-02 15:19:11.030,2297090486,535030,1,0.87622,-0.09058,0.41748,-1.832,1.504,-0.985,ergonomis
2026-06-02 15:19:11.030,2297090486,535030,2,0.90356,0.1936,0.71606,0.977,2.122,1.71,ergonomis
2026-06-02 15:19:11.230,2297090686,535230,1,0.87964,-0.08276,0.42554,-1.412,1.191,-0.916,ergonomis
2026-06-02 15:19:11.230,2297090686,535230,2,0.90552,0.18921,0.70679,1.374,1.771,1.305,ergonomis
2026-06-02 15:19:11.463,2297090919,535463,1,0.87988,-0.08105,0.42114,-1.344,0.626,-0.779,ergonomis
2026-06-02 15:19:11.463,2297090919,535463,2,0.90039,0.19312,0.72461,0.359,1.939,1.458,ergonomis
2026-06-02 15:19:11.663,2297091119,535663,1,0.87598,-0.08398,0.42456,-1.023,1.115,-0.351,ergonomis
2026-06-02 15:19:11.663,2297091119,535663,2,0.90259,0.19019,0.7229,0.198,1.603,1.366,ergonomis
2026-06-02 15:19:11.892,2297091348,535891,1,0.87329,-0.07593,0.43481,-1.603,1.779,-0.473,ergonomis
2026-06-02 15:19:11.892,2297091348,535891,2,0.8938,0.19678,0.71875,1.397,1.916,1.611,ergonomis
2026-06-02 15:19:12.091,2297091547,536091,1,0.8772,-0.07324,0.4292,-1.366,1.366,-0.55,ergonomis
2026-06-02 15:19:12.091,2297091547,536091,2,0.8999,0.19189,0.72095,-2.221,-0.389,0.977,ergonomis
2026-06-02 15:19:12.389,2297091845,536388,1,0.8772,-0.08057,0.42969,-1.214,0.389,-0.374,ergonomis
2026-06-02 15:19:12.389,2297091845,536388,2,0.89966,0.19995,0.71631,-2.298,-1.237,0.702,ergonomis
2026-06-02 15:19:12.588,2297092044,536588,1,0.87207,-0.07886,0.42627,-2.466,0.183,-0.237,ergonomis
2026-06-02 15:19:12.588,2297092044,536588,2,0.90112,0.19751,0.71289,-0.84,1.031,1.244,ergonomis
2026-06-02 15:19:15.807,2297095263,539806,1,0.87305,-0.073,0.43408,-1.656,-0.282,0.107,ergonomis
2026-06-02 15:19:15.807,2297095263,539806,2,0.90161,0.20288,0.71997,0.687,1.847,1.153,ergonomis
2026-06-02 15:19:16.123,2297095579,540123,1,0.87354,-0.0686,0.44946,-1.58,0.626,-0.275,ergonomis
2026-06-02 15:19:16.123,2297095579,540123,2,0.90381,0.20166,0.71924,0.137,1.496,1.817,ergonomis
2026-06-02 15:19:16.323,2297095779,540323,1,0.86865,-0.06445,0.44116,-1.794,0.527,-0.206,ergonomis
2026-06-02 15:19:16.323,2297095779,540323,2,0.90186,0.20605,0.72314,0.511,2.489,1.595,ergonomis
2026-06-02 15:19:16.523,2297095979,540523,1,0.86255,-0.06982,0.45142,-1.29,0.565,0.534,ergonomis
2026-06-02 15:19:16.523,2297095979,540523,2,0.9043,0.20508,0.72827,-0.321,1.504,1.42,ergonomis
2026-06-02 15:19:16.751,2297096207,540751,1,0.86768,-0.05054,0.42871,-4.221,1.756,-0.122,ergonomis
2026-06-02 15:19:16.751,2297096207,540751,2,0.90747,0.20068,0.73633,4.595,3.84,3.45,ergonomis
2026-06-02 15:19:16.951,2297096407,540951,1,0.86255,-0.06299,0.44946,5.962,1.847,10.038,ergonomis
2026-06-02 15:19:16.951,2297096407,540951,2,0.90405,0.20215,0.74097,-8.878,-4.481,1.702,ergonomis
2026-06-02 15:19:17.151,2297096607,541151,1,0.86621,-0.08667,0.43896,-0.809,-0.046,0.687,ergonomis
2026-06-02 15:19:17.151,2297096607,541151,2,0.91504,0.20557,0.70874,-2.565,0.252,1.641,ergonomis
2026-06-02 15:19:17.351,2297096807,541351,1,0.84399,-0.07446,0.44995,-1.588,4.641,1.229,ergonomis
2026-06-02 15:19:17.351,2297096807,541351,2,0.91357,0.16309,0.69922,-3.344,3.244,-3.29,ergonomis
2026-06-02 15:19:17.551,2297097007,541551,1,0.86084,-0.06592,0.44775,10.046,-0.87,3.427,ergonomis
2026-06-02 15:19:17.551,2297097007,541551,2,0.90503,0.20996,0.72998,-2.557,-1.641,-4.0,ergonomis
2026-06-02 15:19:17.751,2297097207,541751,1,0.84937,-0.02588,0.47363,5.565,1.985,2.794,ergonomis
2026-06-02 15:19:17.751,2297097207,541751,2,0.90698,0.21802,0.71411,-0.71,0.954,-0.924,ergonomis
2026-06-02 15:19:17.955,2297097411,541955,1,0.84009,-0.04663,0.47412,1.252,3.328,-0.237,ergonomis
2026-06-02 15:19:17.955,2297097411,541955,2,0.89307,0.23633,0.7124,1.008,3.87,-0.611,ergonomis
