datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 14:59:24.717,2209504173,320717,1,0.96997,0.08911,0.49121,0.519,2.817,-1.099,ergonomis
2026-06-01 14:59:24.717,2209504173,320717,2,1.01147,-0.19141,-0.01196,-2.427,0.992,0.298,ergonomis
2026-06-01 14:59:24.917,2209504373,320917,1,0.96704,0.09082,0.49512,-0.527,3.58,-0.084,ergonomis
2026-06-01 14:59:24.917,2209504373,320917,2,1.01636,-0.18848,-0.01147,6.038,2.466,2.107,ergonomis
2026-06-01 14:59:24.117,2209503573,321117,1,0.97095,0.08569,0.49927,-0.191,3.336,0.321,ergonomis
2026-06-01 14:59:24.117,2209503573,321117,2,1.01074,-0.19678,0.01782,0.74,4.305,1.405,ergonomis
2026-06-01 14:59:24.317,2209503773,321317,1,0.96558,0.08545,0.51904,0.099,4.015,-0.359,ergonomis
2026-06-01 14:59:24.317,2209503773,321317,2,1.00684,-0.20068,0.01392,0.221,2.542,1.023,ergonomis
2026-06-01 14:59:24.517,2209503973,321517,1,0.96729,0.08984,0.52197,1.038,3.359,-0.267,ergonomis
2026-06-01 14:59:24.517,2209503973,321517,2,1.01172,-0.19263,0.03052,-0.855,3.58,0.374,ergonomis
2026-06-01 14:59:25.717,2209505173,321717,1,0.96948,0.09351,0.52588,0.473,1.542,-0.779,ergonomis
2026-06-01 14:59:25.717,2209505173,321717,2,1.00708,-0.20435,0.03174,-2.679,0.679,0.29,ergonomis
2026-06-01 14:59:25.917,2209505373,321917,1,0.96509,0.08228,0.52173,-0.733,2.489,-0.389,ergonomis
2026-06-01 14:59:25.917,2209505373,321917,2,1.00269,-0.19775,0.03125,0.74,0.901,0.504,ergonomis
2026-06-01 14:59:25.117,2209504573,322117,1,0.96533,0.08179,0.52246,1.412,2.382,-0.496,ergonomis
2026-06-01 14:59:25.117,2209504573,322117,2,1.01782,-0.19678,0.04272,3.221,1.786,1.397,ergonomis
2026-06-01 14:59:25.317,2209504773,322317,1,0.96631,0.06958,0.52539,0.832,2.244,-0.176,ergonomis
2026-06-01 14:59:25.317,2209504773,322317,2,1.00952,-0.2002,0.04028,-0.26,2.115,0.328,ergonomis
2026-06-01 14:59:25.517,2209504973,322517,1,0.9563,0.07886,0.53467,0.748,2.534,-0.481,ergonomis
2026-06-01 14:59:25.517,2209504973,322517,2,1.00366,-0.20068,0.04248,0.221,1.0,0.023,ergonomis
2026-06-01 14:59:26.717,2209506173,322717,1,0.96826,0.07935,0.5332,0.366,2.763,-0.092,ergonomis
2026-06-01 14:59:26.717,2209506173,322717,2,1.00586,-0.19409,0.03516,0.634,0.656,0.595,ergonomis
2026-06-01 14:59:26.917,2209506373,322917,1,0.9585,0.0874,0.53906,0.718,2.122,-0.015,ergonomis
2026-06-01 14:59:26.917,2209506373,322917,2,1.01172,-0.19604,0.04468,-1.031,0.527,0.672,ergonomis
2026-06-01 14:59:26.117,2209505573,323117,1,0.95752,0.07666,0.53394,0.534,2.115,0.015,ergonomis
2026-06-01 14:59:26.117,2209505573,323117,2,0.99902,-0.19629,0.04126,-0.71,0.443,0.45,ergonomis
2026-06-01 14:59:26.317,2209505773,323317,1,0.96313,0.07666,0.52637,-0.153,1.031,-0.183,ergonomis
2026-06-01 14:59:26.317,2209505773,323317,2,0.99683,-0.19995,0.03516,-5.328,-1.802,0.519,ergonomis
2026-06-01 14:59:26.517,2209505973,323517,1,0.96411,0.06738,0.52344,-0.748,2.053,-0.435,ergonomis
2026-06-01 14:59:26.517,2209505973,323517,2,1.00537,-0.19653,0.03076,1.458,1.924,1.191,ergonomis
2026-06-01 14:59:27.717,2209507173,323717,1,0.95947,0.06689,0.54419,0.71,2.16,-0.214,ergonomis
2026-06-01 14:59:27.717,2209507173,323717,2,1.01025,-0.19922,0.04077,-0.527,0.603,1.382,ergonomis
2026-06-01 14:59:27.917,2209507373,323917,1,0.95264,0.07324,0.52759,0.458,2.878,-0.618,ergonomis
2026-06-01 14:59:27.917,2209507373,323917,2,1.00293,-0.20386,0.03223,0.435,0.534,0.344,ergonomis
2026-06-01 14:59:27.117,2209506573,324117,1,0.95239,0.07056,0.53442,0.756,1.84,-0.527,ergonomis
2026-06-01 14:59:27.117,2209506573,324117,2,1.01514,-0.20044,0.03735,-1.618,-0.366,0.107,ergonomis
2026-06-01 14:59:27.317,2209506773,324317,1,0.95654,0.06641,0.53662,0.061,2.366,-0.74,ergonomis
2026-06-01 14:59:27.317,2209506773,324317,2,1.00073,-0.19434,0.04102,-1.237,0.794,0.527,ergonomis
2026-06-01 14:59:27.517,2209506973,324517,1,0.9541,0.07373,0.54077,0.786,2.229,-0.275,ergonomis
2026-06-01 14:59:27.517,2209506973,324517,2,1.00586,-0.19116,0.0415,0.389,0.573,0.855,ergonomis
2026-06-01 14:59:28.717,2209508173,324717,1,0.9519,0.06421,0.54224,0.618,1.931,-0.298,ergonomis
2026-06-01 14:59:28.717,2209508173,324717,2,1.00854,-0.19458,0.04712,-1.519,-0.137,0.42,ergonomis
2026-06-01 14:59:28.917,2209508373,324917,1,0.95728,0.0647,0.53784,0.359,2.031,-0.321,ergonomis
2026-06-01 14:59:28.917,2209508373,324917,2,1.00586,-0.19604,0.05103,0.038,0.779,0.924,ergonomis
2026-06-01 14:59:28.117,2209507573,325117,1,0.9519,0.06958,0.54907,0.679,2.641,-1.275,ergonomis
2026-06-01 14:59:28.117,2209507573,325117,2,1.0061,-0.19971,0.05127,-1.145,-0.771,0.122,ergonomis
2026-06-01 14:59:28.317,2209507773,325317,1,0.94727,0.07129,0.5542,0.275,1.634,-0.16,ergonomis
2026-06-01 14:59:28.317,2209507773,325317,2,1.00269,-0.19849,0.03711,3.099,0.275,0.832,ergonomis
2026-06-01 14:59:28.517,2209507973,325517,1,0.96753,0.06812,0.52515,1.031,1.504,-0.107,ergonomis
2026-06-01 14:59:28.517,2209507973,325517,2,1.01074,-0.19727,0.04834,-0.977,0.107,0.985,ergonomis
2026-06-01 14:59:29.717,2209509173,325717,1,0.96436,0.07666,0.52563,0.916,2.481,0.038,ergonomis
2026-06-01 14:59:29.717,2209509173,325717,2,1.00317,-0.19507,0.04346,0.687,2.015,1.145,ergonomis
2026-06-01 14:59:29.917,2209509373,325917,1,0.96362,0.07251,0.53174,0.786,1.771,-0.267,ergonomis
2026-06-01 14:59:29.917,2209509373,325917,2,1.0105,-0.19971,0.04736,-1.359,1.847,0.504,ergonomis
2026-06-01 14:59:29.117,2209508573,326117,1,0.96338,0.07227,0.53687,0.473,0.649,-0.977,ergonomis
2026-06-01 14:59:29.117,2209508573,326117,2,1.01245,-0.19238,0.04199,-6.389,-0.924,-0.336,ergonomis
2026-06-01 14:59:29.317,2209508773,326317,1,0.9624,0.07202,0.53784,-0.519,-0.076,-2.382,ergonomis
2026-06-01 14:59:29.317,2209508773,326317,2,1.00635,-0.18872,0.01807,-13.878,-4.954,-1.008,ergonomis
2026-06-01 14:59:29.517,2209508973,326517,1,0.95728,0.0769,0.5144,-1.13,-6.015,-4.672,ergonomis
2026-06-01 14:59:29.517,2209508973,326517,2,1.00757,-0.18823,-0.00049,-14.725,-7.313,-2.275,ergonomis
2026-06-01 14:59:30.717,2209510173,326717,1,0.9729,0.08813,0.48486,0.641,-4.008,-2.725,ergonomis
