datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 15:38:02.140,2211821596,155140,1,1.03223,0.052,0.32129,1.954,2.878,-0.298,ergonomis
2026-06-01 15:38:02.140,2211821596,155140,2,1.02539,-0.03467,0.01611,-4.824,0.519,1.176,ergonomis
2026-06-01 15:38:02.340,2211821796,155340,1,1.04297,0.04028,0.29712,-1.641,0.405,-1.107,ergonomis
2026-06-01 15:38:02.340,2211821796,155340,2,1.02759,-0.02295,0.04224,-0.634,-1.168,0.855,ergonomis
2026-06-01 15:38:02.540,2211821996,155540,1,1.03638,0.04785,0.2915,4.023,2.649,0.061,ergonomis
2026-06-01 15:38:02.540,2211821996,155540,2,1.01904,-0.01855,0.01196,-2.863,0.718,-0.13,ergonomis
2026-06-01 15:38:02.780,2211822236,155780,1,1.03857,0.05396,0.32104,-1.534,1.374,0.061,ergonomis
2026-06-01 15:38:02.780,2211822236,155780,2,1.03442,-0.01318,0.03418,1.611,2.023,0.504,ergonomis
2026-06-01 15:38:03.980,2211823436,155980,1,1.02808,0.04248,0.3147,4.74,3.038,0.183,ergonomis
2026-06-01 15:38:03.980,2211823436,155980,2,1.02344,-0.0249,0.00879,-4.557,1.55,0.099,ergonomis
2026-06-01 15:38:03.180,2211822636,156180,1,1.03882,0.04956,0.29565,-0.405,1.389,-1.366,ergonomis
2026-06-01 15:38:03.180,2211822636,156180,2,1.02856,-0.02612,0.01758,0.26,1.168,0.412,ergonomis
2026-06-01 15:38:03.380,2211822836,156380,1,1.04126,0.05249,0.30908,-0.16,1.611,-0.824,ergonomis
2026-06-01 15:38:03.380,2211822836,156380,2,1.02246,-0.03662,0.02637,-0.817,1.168,0.351,ergonomis
2026-06-01 15:38:03.580,2211823036,156580,1,1.02954,0.04688,0.29907,1.947,1.26,-0.336,ergonomis
2026-06-01 15:38:03.580,2211823036,156580,2,1.02783,-0.01831,0.01831,-5.672,1.0,0.397,ergonomis
2026-06-01 15:38:03.780,2211823236,156780,1,1.03418,0.04419,0.30566,0.954,2.634,0.931,ergonomis
2026-06-01 15:38:03.780,2211823236,156780,2,1.02051,-0.01758,0.01343,1.427,3.771,-2.725,ergonomis
2026-06-01 15:38:04.980,2211824436,156980,1,1.01611,0.03467,0.31592,-14.29,-5.015,-3.45,ergonomis
2026-06-01 15:38:04.980,2211824436,156980,2,1.03809,-0.04517,,-21.779,-1.603,-1.954,ergonomis
2026-06-01 15:38:04.195,2211823651,157194,1,1.04004,0.06592,0.29224,6.931,2.16,-1.878,ergonomis
2026-06-01 15:38:04.195,2211823651,157194,2,1.02808,-0.02661,0.02295,-1.55,0.023,0.298,ergonomis
