datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 13:38:09.691,2204629147,317691,1,0.64429,0.17725,0.90259,-1.626,-1.473,1.74,ergonomis
2026-06-01 13:38:09.691,2204629147,317691,2,0.94434,0.03711,-0.07422,-0.809,0.687,0.221,ergonomis
2026-06-01 13:38:09.891,2204629347,317891,1,0.69336,0.17725,0.9082,-3.542,-2.725,-3.046,ergonomis
2026-06-01 13:38:09.891,2204629347,317891,2,0.99658,-0.00464,-0.10913,6.847,1.534,0.336,ergonomis
2026-06-01 13:38:09.091,2204628547,318091,1,0.67285,0.15405,0.94312,-4.29,1.237,-1.618,ergonomis
2026-06-01 13:38:09.091,2204628547,318091,2,1.01538,0.02979,-0.13721,5.206,4.679,-4.84,ergonomis
2026-06-01 13:38:09.291,2204628747,318291,1,0.67432,0.19531,0.93213,5.0,6.298,2.374,ergonomis
2026-06-01 13:38:09.291,2204628747,318291,2,1.0564,0.06567,-0.09717,1.695,0.282,-7.435,ergonomis
2026-06-01 13:38:09.491,2204628947,318491,1,0.6626,0.18408,0.9314,5.237,2.412,2.664,ergonomis
2026-06-01 13:38:09.491,2204628947,318491,2,1.0603,0.01147,-0.1123,-2.504,-6.588,-3.107,ergonomis
2026-06-01 13:38:10.691,2204630147,318691,1,0.67212,0.20972,0.92188,-1.634,-3.954,-2.962,ergonomis
2026-06-01 13:38:10.691,2204630147,318691,2,1.04224,0.04321,-0.07007,0.74,-2.359,-1.824,ergonomis
2026-06-01 13:38:10.891,2204630347,318891,1,0.6731,0.19604,0.8916,-1.115,-1.748,-2.794,ergonomis
2026-06-01 13:38:10.891,2204630347,318891,2,1.03906,0.05249,-0.12158,-2.282,-1.656,2.084,ergonomis
2026-06-01 13:38:10.091,2204629547,319091,1,0.63135,0.20239,0.89038,3.916,6.718,-2.611,ergonomis
2026-06-01 13:38:10.091,2204629547,319091,2,1.00635,0.03125,-0.14771,2.0,-6.092,17.603,ergonomis
2026-06-01 13:38:10.291,2204629747,319291,1,0.64478,0.18823,0.87817,-4.565,-2.374,-3.863,ergonomis
2026-06-01 13:38:10.291,2204629747,319291,2,1.01611,-0.04883,-0.14941,-5.947,0.374,5.985,ergonomis
2026-06-01 13:38:10.491,2204629947,319491,1,0.65698,0.18237,0.88379,3.412,6.435,16.656,ergonomis
2026-06-01 13:38:10.491,2204629947,319491,2,1.03052,0.00146,-0.12451,-10.351,0.26,-3.603,ergonomis
2026-06-01 13:38:11.691,2204631147,319691,1,0.6604,0.15039,0.87866,-1.473,0.275,0.481,ergonomis
2026-06-01 13:38:11.691,2204631147,319691,2,1.02319,-0.01807,-0.10645,-2.084,1.695,-1.328,ergonomis
2026-06-01 13:38:11.891,2204631347,319891,1,0.65356,0.14429,0.86963,2.511,1.779,1.069,ergonomis
2026-06-01 13:38:11.891,2204631347,319891,2,1.03784,0.00464,-0.11938,-2.74,-1.489,4.137,ergonomis
2026-06-01 13:38:11.091,2204630547,320091,1,0.69922,0.12231,0.85474,-4.099,-3.466,-6.252,ergonomis
2026-06-01 13:38:11.091,2204630547,320091,2,1.03394,-0.02197,-0.18237,0.71,-0.74,-2.435,ergonomis
2026-06-01 13:38:11.291,2204630747,320291,1,0.70142,0.14429,0.86572,-2.74,-1.076,-4.885,ergonomis
2026-06-01 13:38:11.291,2204630747,320291,2,1.03003,-0.01855,-0.15186,-5.046,-0.435,0.435,ergonomis
2026-06-01 13:38:11.491,2204630947,320491,1,0.69238,0.14429,0.8584,3.435,1.985,-2.588,ergonomis
2026-06-01 13:38:11.491,2204630947,320491,2,1.03027,-0.00928,-0.15991,-3.069,1.786,-2.977,ergonomis
2026-06-01 13:38:12.691,2204632147,320691,1,0.67578,0.17358,0.87549,2.786,1.779,-3.137,ergonomis
2026-06-01 13:38:12.691,2204632147,320691,2,1.0332,0.02051,-0.15161,-1.74,1.0,-1.374,ergonomis
2026-06-01 13:38:12.891,2204632347,320891,1,0.67139,0.17578,0.87671,2.191,0.618,-4.954,ergonomis
2026-06-01 13:38:12.891,2204632347,320891,2,1.03394,0.01147,-0.1582,-1.008,0.802,1.397,ergonomis
2026-06-01 13:38:12.091,2204631547,321091,1,0.68286,0.19849,0.88257,0.061,-0.511,-2.481,ergonomis
2026-06-01 13:38:12.091,2204631547,321091,2,1.02783,-0.00269,-0.15479,0.084,0.137,-0.824,ergonomis
2026-06-01 13:38:12.291,2204631747,321291,1,0.68335,0.18774,0.86572,-3.382,0.71,-3.389,ergonomis
2026-06-01 13:38:12.291,2204631747,321291,2,1.03027,0.00146,-0.16602,2.084,-0.084,2.031,ergonomis
2026-06-01 13:38:12.491,2204631947,321491,1,0.6853,0.18823,0.87158,-1.13,0.771,-1.794,ergonomis
2026-06-01 13:38:12.491,2204631947,321491,2,1.01392,-0.00513,-0.14697,1.099,1.26,1.916,ergonomis
2026-06-01 13:38:13.691,2204633147,321691,1,0.68481,0.16162,0.87256,0.466,2.634,1.817,ergonomis
2026-06-01 13:38:13.691,2204633147,321691,2,1.04004,0.01465,-0.12842,4.107,0.817,0.679,ergonomis
