datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 14:02:30.375,2206089831,241375,1,0.65161,0.19263,0.88818,0.611,-2.214,2.641,ergonomis
2026-06-01 14:02:30.375,2206089831,241375,2,1.0249,-0.0918,-0.01953,-5.878,-4.031,8.321,ergonomis
2026-06-01 14:02:30.672,2206090128,241671,1,0.69458,0.16382,0.85474,-1.679,-2.58,5.794,ergonomis
2026-06-01 14:02:30.672,2206090128,241671,2,1.02612,-0.10693,-0.04492,-2.45,-3.527,7.344,ergonomis
2026-06-01 14:02:30.871,2206090327,241871,1,0.71167,0.14795,0.85815,-2.237,-3.443,3.557,ergonomis
2026-06-01 14:02:30.871,2206090327,241871,2,1.02002,-0.13623,-0.06641,-3.252,-2.481,7.702,ergonomis
2026-06-01 14:02:30.071,2206089527,242071,1,0.72241,0.12549,0.84302,-2.282,-0.45,3.779,ergonomis
2026-06-01 14:02:30.071,2206089527,242071,2,1.02637,-0.1709,-0.07202,-3.931,-0.779,3.962,ergonomis
2026-06-01 14:02:31.271,2206090727,242271,1,0.73071,0.09302,0.84106,0.298,0.183,3.878,ergonomis
2026-06-01 14:02:31.271,2206090727,242271,2,1.02051,-0.17407,-0.07544,-1.763,-0.603,3.443,ergonomis
2026-06-01 14:02:31.471,2206090927,242471,1,0.71436,0.09863,0.85034,0.183,1.664,-3.725,ergonomis
2026-06-01 14:02:31.471,2206090927,242471,2,1.01807,-0.16333,-0.0625,-0.008,0.374,-1.275,ergonomis
2026-06-01 14:02:31.671,2206091127,242671,1,0.73267,0.09131,0.84302,-2.878,0.466,-1.45,ergonomis
2026-06-01 14:02:31.671,2206091127,242671,2,1.01489,-0.16113,-0.06299,3.511,-1.641,-1.168,ergonomis
2026-06-01 14:02:31.871,2206091327,242871,1,0.72778,0.1189,0.84814,4.916,0.191,1.855,ergonomis
2026-06-01 14:02:31.871,2206091327,242871,2,1.0459,-0.17041,-0.0874,-3.267,-2.771,1.481,ergonomis
