datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,label
2026-06-01 14:41:50.314,2208449770,235314,1,0.68408,0.23169,0.85352,-0.298,0.214,-0.969,ergonomis
2026-06-01 14:41:50.314,2208449770,235314,2,1.01587,-0.06543,-0.17114,-2.863,-1.885,0.137,ergonomis
2026-06-01 14:41:50.514,2208449970,235514,1,0.69336,0.23511,0.83228,0.069,-0.779,-2.557,ergonomis
2026-06-01 14:41:50.514,2208449970,235514,2,1.02661,-0.06714,-0.20728,-4.695,-3.756,2.702,ergonomis
2026-06-01 14:41:50.714,2208450170,235714,1,0.71265,0.23682,0.81055,0.069,-0.893,-3.55,ergonomis
2026-06-01 14:41:50.714,2208450170,235714,2,1.02417,-0.07104,-0.20361,-4.626,-2.458,1.618,ergonomis
2026-06-01 14:41:50.914,2208450370,235914,1,0.71289,0.25244,0.81348,0.817,1.427,-0.55,ergonomis
2026-06-01 14:41:50.914,2208450370,235914,2,1.02295,-0.06519,-0.20264,-1.435,-0.366,-0.107,ergonomis
2026-06-01 14:41:50.114,2208449570,236114,1,0.71191,0.25757,0.80762,1.206,1.42,-0.641,ergonomis
2026-06-01 14:41:50.114,2208449570,236114,2,1.021,-0.06104,-0.20972,-1.985,-0.16,-0.031,ergonomis
2026-06-01 14:41:51.314,2208450770,236314,1,0.72412,0.23486,0.8147,1.786,0.321,-2.015,ergonomis
2026-06-01 14:41:51.314,2208450770,236314,2,1.01538,-0.06006,-0.22046,-1.992,-0.802,-1.0,ergonomis
2026-06-01 14:41:51.514,2208450970,236514,1,0.73096,0.2627,0.79468,2.718,1.061,1.084,ergonomis
2026-06-01 14:41:51.514,2208450970,236514,2,1.04028,-0.04395,-0.21997,5.725,3.198,-3.137,ergonomis
2026-06-01 14:41:51.714,2208451170,236714,1,0.71289,0.26807,0.80811,-4.267,5.374,-1.802,ergonomis
2026-06-01 14:41:51.714,2208451170,236714,2,1.01685,-0.05566,-0.17993,-0.206,4.382,2.145,ergonomis
2026-06-01 14:41:51.914,2208451370,236914,1,0.66382,0.229,0.85254,1.26,3.618,1.137,ergonomis
2026-06-01 14:41:51.914,2208451370,236914,2,1.01196,-0.05493,-0.16382,-3.634,-3.16,-0.763,ergonomis
2026-06-01 14:41:51.114,2208450570,237114,1,0.71704,0.26563,0.80225,1.763,-0.496,0.084,ergonomis
2026-06-01 14:41:51.114,2208450570,237114,2,1.02734,-0.05322,-0.21143,-2.229,-2.229,0.427,ergonomis
2026-06-01 14:41:52.314,2208451770,237314,1,0.70825,0.25391,0.81396,2.382,0.489,-0.397,ergonomis
2026-06-01 14:41:52.314,2208451770,237314,2,1.01807,-0.0542,-0.18774,-2.351,-0.252,-1.198,ergonomis
2026-06-01 14:41:52.514,2208451970,237514,1,0.71509,0.2644,0.81006,1.427,0.855,0.733,ergonomis
2026-06-01 14:41:52.514,2208451970,237514,2,1.02051,-0.0415,-0.2168,-3.374,-2.374,-0.603,ergonomis
2026-06-01 14:41:52.714,2208452170,237714,1,0.73071,0.26318,0.79468,1.824,-0.809,1.427,ergonomis
2026-06-01 14:41:52.714,2208452170,237714,2,1.02319,-0.03735,-0.21313,-0.588,-0.87,0.305,ergonomis
2026-06-01 14:41:52.914,2208452370,237914,1,0.72925,0.25195,0.79419,2.168,-3.145,0.679,ergonomis
2026-06-01 14:41:52.914,2208452370,237914,2,1.01831,-0.0376,-0.22729,-2.947,-6.656,0.221,ergonomis
2026-06-01 14:41:52.114,2208451570,238114,1,0.75562,0.25781,0.78564,2.672,-2.756,1.519,ergonomis
2026-06-01 14:41:52.114,2208451570,238114,2,1.01807,-0.0293,-0.25781,-1.557,-4.893,0.74,ergonomis
2026-06-01 14:41:53.314,2208452770,238314,1,0.76416,0.26831,0.76538,1.145,-1.947,0.565,ergonomis
2026-06-01 14:41:53.314,2208452770,238314,2,1.00903,-0.04321,-0.26758,-0.458,-0.321,1.0,ergonomis
2026-06-01 14:41:53.514,2208452970,238514,1,0.77539,0.2583,0.76123,0.145,1.298,0.618,ergonomis
2026-06-01 14:41:53.514,2208452970,238514,2,1.00806,-0.0376,-0.27124,-1.122,0.977,0.908,ergonomis
2026-06-01 14:41:53.714,2208453170,238714,1,0.76416,0.24683,0.7522,0.519,2.626,-0.443,ergonomis
2026-06-01 14:41:53.714,2208453170,238714,2,1.00708,-0.03809,-0.27222,-0.214,1.702,0.962,ergonomis
